id,name,description,category,fy07budget,fy07salaries,fy07other,fy08budget,fy08salaries,fy08other,fy09budget,fy09salaries,fy09other,fy10budget,fy10salaries,fy10other,fy11budget,fy11salaries,fy11other,fy12budget,fy12salaries,fy12other,fy13budget,fy13salaries,fy13other,fy14budget,fy14salaries,fy14other,fy15budget,fy15salaries,fy15other,fy16budget,fy16salaries,fy16other,fy17budget,fy17salaries,fy17other
1,Aging,"This Department plans, contracts, and directly administers programs for older adults residing in the City of Los Angeles and their family caregivers through a network of 16 multi-purpose senior centers and Citywide service providers. For more information see <a href=""http://aging.lacity.org"">http://aging.lacity.org</a>.",Budgetary department,4437504,3709395,490526,4376859,3833070,277339,4835617,3744684,208378,4789730,3397279,207193,4434886,3306358,145241,4789021,3249633,236137,4328550,3242403,162202,4092088,3345697,150691,4744077,3176006,411594,4900092,3292891,644066,5842739,3424373,1483564
2,Animal Services,"This Department enforces all laws and ordinances regulating the care, custody, control, and prevention of cruelty to all animals, including wildlife, within the City. For more information see <a href=""http://www.laanimalservices.com"">http://www.laanimalservices.com</a>.",Budgetary department,19611891,16078421,2548398,21462011,18872682,1997552,21490826,19779291,1573129,20403101,18796825,1440895,20499953,18633086,1465481,20385428,18732779,1408287,20274261,18496062,1493002,21940274,19663191,2076427,23191449,19793699,1565149,23052748,20230641,2004849,23716220,20232557,2094839
3,Building and Safety,"This Department enforces all ordinances and laws relating to the construction, alteration, repair, demolition, removal or relocation of buildings or structures as well as the installation, alteration, repair, use and operation of heating, plumbing, lighting, ventilating, refrigerating, electrical and mechanical appliances, and equipment therein. For more information see <a href=""http://www.ladbs.org"">http://www.ladbs.org</a>.",Budgetary department,83087316,76067714,2188260,85371562,79945481,2185497,87221253,81884526,2357080,72386079,69221891,2032810,69378706,66531546,1923293,71764509,68666439,1876692,76158579,69124443,1829597,80682901,74383257,1711323,92732932,79645582,1781910,108429152,85687432,1771290,105972482,96013588,2060382
4,City Administrative Officer,"The City Administrative Officer is the chief financial advisor to the Mayor and the Council and reports directly to both.  This Office conducts studies and investigations, carries out research, and makes recommendations on a wide variety of City management matters. For more information see <a href=""http://cao.lacity.org"">http://cao.lacity.org</a>.",Budgetary department,14054987,11616622,1813093,13889066,11854524,1315639,14561157,12932449,1336827,13194895,11973457,903180,11939615,10560383,699962,14089791,11087799,1703969,14800609,11547253,1403475,16420192,12114500,1767718,17424728,13157319,1125855,19066725,13336930,3933893,20948390,14013078,3756057
5,City Attorney,"The City Attorney acts as legal advisor to the City, prosecutes all misdemeanor offenses occurring within the City of Los Angeles and defends the City in civil litigation. For more information see <a href=""http://www.lacityattorney.org"">http://www.lacityattorney.org</a>.",Budgetary department,109388234,93136146,15549660,113163181,97841017,14683498,116132900,103374606,12545542,109160287,97514888,10974551,106926230,92899906,13969380,103504744,90896957,11539114,109238397,92654655,15998221,118903930,102922446,14874896,123428190,109342407,11105639,125940268,112302291,11913665,131047123,115658374,14619124
6,City Clerk,"The City Clerk serves as Clerk of the Council and Superintendent of Elections and has primary responsibility for providing legislative and personnel support services to the Mayor and Council, managing the City records, and administering certain City programs. For more information see <a href=""http://clerk.lacity.org"">http://clerk.lacity.org</a>.",Budgetary department,28409400,17078176,10435165,16152118,10834582,4420490,32024986,15308760,14006388,13958368,10640307,1574922,24237611,13811283,8622522,13554356,9093116,2008513,25164592,15354772,8145891,10105576,8821277,626417,26261888,13234903,7569159,10154035,9093801,532230,27116707,13098189,11603661
7,City Planning,"The Department of City Planning's mission is to create and implement plans, policies, and programs that realize a vision of Los Angeles as a collection of healthy and sustainable neighborhoods, each with a distinct sense of place, based on a foundation of mobility, economic vitality, and improved quality of life for all residents. For more information see <a href=""http://cityplanning.lacity.org"">http://cityplanning.lacity.org</a>.",Budgetary department,27974445,23204956,3494266,30633901,23797204,5759750,31916489,25140708,3714598,26524229,21829197,3435866,27424893,20624241,3265144,25345021,19909195,2440994,29938653,21545437,4435103,32829847,22719362,6466167,36620281,24433524,6050937,42325984,26727511,7424845,46165954,30604836,10704106
8,"Commission on Children, Youth & Families","In 2010 the Commission on Children, Youth, and Families was subsumed into the Human Relations Commission.",Budgetary department,1533531,1002375,330559,1555634,1094469,320176,1847221,1318456,228020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,Commission on Status of Women,"In 2010 the Commission on the Status of Women was subsumed into the Human Relations Commission. It was later re-introduced by Mayor Eric Garcetti under the Housing and Community Investment Department. For more information see <a href=""http://hcidla.lacity.org/commission-status-women"">http://hcidla.lacity.org/commission-status-women</a>.",Budgetary department,744510,704888,25701,806115,777665,23159,237974,187420,28800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,Controller,"The City Controller, an independently elected Citywide official, is the taxpayers' watchdog and the City's chief auditor and accountant. For more information see <a href=""http://www.lacontroller.org"">http://www.lacontroller.org</a>.",Budgetary department,22689494,14082521,3849286,20470674,15040276,3580024,18671804,16005204,2086598,17155758,14613135,1487345,16692642,14603397,1066685,16825231,14359492,1714397,17167916,14283327,1671436,17449389,14497795,1164187,18495815,15290194,2000404,18218260,15221605,1949624,18072215,15648094,1550600
11,Convention & Tourism Development,"The Department of Convention and Tourism Development is responsible for strategic planning for tourism and managing the contracts with the operator of the facility and the City's Convention and Visitors Bureau for the purpose of increasing the competitiveness of Los Angeles as a convention and tourist destination. For more information see <a href=""http://ctd.lacity.org"">http://ctd.lacity.org</a>.",Budgetary department,25196879,15639979,8886005,25677288,16211465,8751051,26584831,16295637,7925089,23378431,13412179,7325785,22919884,14383694,7862330,24824733,14923623,8814297,22905142,14323500,7940592,21837111,7025428,5534343,1641823,1268153,120906,1588937,1283465,201392,1577644,1320529,166691
12,Council,"The Council is the governing body of the City, except as otherwise provided in the Charter, and enacts ordinances subject to the approval or veto of the Mayor. For more information see <a href=""https://www.lacity.org/city-government/city-council"">https://www.lacity.org/city-government/city-council</a>.",Budgetary department,31010986,23491539,2294253,33915578,24783611,2639419,37005109,27278350,2089088,35246357,24365821,2262513,35039305,23870134,1771344,36869378,24524333,2453542,35759965,25903933,2235519,36527239,25648890,2283580,38929668,26773946,3230429,40123622,27685181,3254104,41244553,28744656,3544385
13,Cultural Affairs,"The mission of the Department of Cultural Affairs is to strengthen the quality of life in the City of Los Angeles by stimulating and supporting cultural activities and ensuring access to such activities for residents and visitors to the City. For more information see <a href=""http://culturela.org"">http://culturela.org</a>.",Budgetary department,10112684,4783063,5020592,10229021,5311091,4501266,10422494,5370181,4521975,9411541,4870874,4182235,8883338,4232520,4396670,8141493,4231956,3186149,9040592,4212322,4406919,9328945,4420526,4021841,10427420,4715221,4540809,11642601,5141849,5244116,13441441,5931298,5453773
